ARTIKELNAME;Handelssprache;Lokaler Artikelname;Lieferantenartikelnummer;Lieferanten Firmenname;LIEFERANTENNUMMER;Bruttokaufpreis;Zu- und Abschläge Bezeichnung 1;Zu- und Abschläge Preisart 1;Zu- und Abschläge Wert 1;Zu- und Abschläge Bezeichnung 2;Zu- und Abschläge Preisart 2;Zu- und Abschläge Wert 2;Währung;Artikel-Mengeneinheit;Matchcode;Artikel aktiv;Preis-Eintritt;Warengruppen-Name;Warengruppen Beschreibung;Steuersatz;Zugehörigen Verkaufsartikel erstellen oder aktualisieren;Verkaufsartikel-Nummer;Bruttopreis des zugehörigen Verkaufsartikels;Verkaufsartikel-Währung;Vertriebsweg;Vertriebsweg-Steuersatz;Kurztext 1;Handelssprache;Lokalisierte Kurztext 1;Kurztext 2;Handelssprache;Lokalisierte Kurztext 2;Artikelbeschreibung;Handelssprache;Lokalisierte Artikelbeschreibung;Interner Hinweis;Handelssprache;Lokalisierter interner Hinweis;Artikel-Langbeschreibung;Handelssprache;Lokalisierte Lange Artikelbeschreibung;EAN-Nummer;MPN-Nummer;Artikeltyp;Serienartikel;Hersteller;Bruttogewicht;Nettogewicht;Zolltarifnummer;Länge Artikel;Breite Artikel;Höhe Artikel;Herstellertyp;Einführungsdatum;Sicherheitstage;Mindestlagerbestand;Zielbestand;Wiederbeschaffungstage;Durchschnittliche Lieferzeit;Mindestbestellmenge;Gebindemenge;Lieferantenbestand;Dropshipping möglich;In Dropshipping-Automatisierung ignorieren;Kostenstelle Verkauf;Kostenstelle Einkauf;Kostenart;Primäre Bezugsquelle
Taktile Rippe Polyurethan, Edelstahl V4A aqua-safe schwarz 4 mm, Breite 12 mm Karton 15 Stück für taktile Leitsysteme und Richtungsfelder;;;1502012309;;10000;49,16;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TREE 1233-3 SK V4A;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Rippe Edelstahl V2A gerillt 4 mm, Breite 12 mm Karton 15 Stück für taktile Leitsysteme und Richtungsfelder;;;150201231;;10000;38,52;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TRE LG 12-3 SK V2A;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Rippe Edelstahl V2A aqua-safe grau 4 mm, Breite 12 mm Karton 15 Stück für taktile Leitsysteme und Richtungsfelder;;;1502012312;;10000;47,80;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TREE 1238-3 SK V2A;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Rippe Edelstahl V2A aqua-safe weiss 4 mm, Breite 12 mm Karton 15 Stück für taktile Leitsysteme und Richtungsfelder;;;1502012315;;10000;47,80;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TREE 1230-3 SK V2A;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Rippe Polyurethan geriffelt schwarz 3,3 mm, Breite 16 mm Karton 15 Stück für taktile Leitsysteme und Richtungsfelder;;;1502012327;;10000;11,12;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TRPG 1633-3 SK;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Rippe Polyurethan geriffelt grau 3,3 mm, Breite 16 mm Karton 15 Stück für taktile Leitsysteme und Richtungsfelder;;;1502012330;;10000;11,12;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TRPG 1638-3 SK;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Rippe Polyurethan geriffelt weiss 3,3 mm, Breite 16 mm Karton 15 Stück für taktile Leitsysteme und Richtungsfelder;;;1502012333;;10000;11,12;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TRPG 1630-3 SK;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Rippe Edelstahl V2A aqua-safe schwarz 4 mm, Breite 12 mm Karton 15 Stück für taktile Leitsysteme und Richtungsfelder;;;150201239;;10000;47,80;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TREE 1233-3 SK V2A;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Noppenmatte Polyurethan weiss 5,5 mm, Breite 300 mm 1 Stück für taktile Bodenindikatoren und Orientierungssysteme;;;1530303032SK;;10000;40,88;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TMN 3030 30-3 SK;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Noppenmatte Polyurethan schwarz 5,5 mm, Breite 300 mm 1 Stück für taktile Bodenindikatoren und Orientierungssysteme;;;1530303332SK;;10000;40,88;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TMN 3030 33-3 SK;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Noppenmatte Polyurethan grau 5,5 mm, Breite 300 mm 1 Stück für taktile Bodenindikatoren und Orientierungssysteme;;;1530303832SK;;10000;40,88;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TMN 3030 38-3 SK;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Klebeschablone für taktile Bodenindikatoren Lexan Breite 600 mm 1 Stück;;;159606025K;;10000;288,10;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TNS 6060-25 K;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Noppe Edelstahl V2A glatt 3,5 mm 1 Stück für taktile Bodenindikatoren und Orientierungssysteme;;;159E253SK2;;10000;6,18;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TNE 25-3-SK V2A;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Noppe Edelstahl V4A glatt 3,5 mm 1 Stück für taktile Bodenindikatoren und Orientierungssysteme;;;159E253SK3;;10000;6,60;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TNE 25-3-SK V4A;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Noppe Edelstahl V2A, Polyurethan aqua-safe weiss 3,5 mm 1 Stück für taktile Bodenindikatoren und Orientierungssysteme;;;159EE25303SK2;;10000;8,16;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TNEE 2530-3 SK V2A, PU;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Noppe Edelstahl V4A aqua-safe weiss 3,5 mm 1 Stück für taktile Bodenindikatoren und Orientierungssysteme;;;159EE25303SK3;;10000;8,22;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TNEE 2530-3 SK V4A, PU;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Noppe Edelstahl V2A, Polyurethan aqua-safe schwarz 3,5 mm 1 Stück für taktile Bodenindikatoren und Orientierungssysteme;;;159EE25333SK2;;10000;8,16;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TNEE 2533-3 SK V2A, PU;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Noppe Edelstahl V4A aqua-safe schwarz 3,5 mm 1 Stück für taktile Bodenindikatoren und Orientierungssysteme;;;159EE25333SK3;;10000;8,22;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TNEE 2533-3 SK V4A, PU;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Noppe Edelstahl V2A, Polyurethan aqua-safe grau 3,5 mm 1 Stück für taktile Bodenindikatoren und Orientierungssysteme;;;159EE25383SK2;;10000;8,16;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TNEE 2538-3 SK V2A, PU;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Noppe Edelstahl V4A aqua-safe grau 3,5 mm 1 Stück für taktile Bodenindikatoren und Orientierungssysteme;;;159EE25383SK3;;10000;8,22;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TNEE 2538-3 SK V4A, PU;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Noppe Edelstahl V2A gerillt 3,5 mm 1 Stück für taktile Bodenindikatoren und Orientierungssysteme;;;159EG253SK2;;10000;6,18;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TNEG 25-3 SK V2A;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Noppe Edelstahl V4A gerillt 3,5 mm 1 Stück für taktile Bodenindikatoren und Orientierungssysteme;;;159EG253SK3;;10000;6,60;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TNEG 25-3 SK V4A;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Noppe Polyurethan gerillt weiss 3,3 mm 1 Stück für taktile Bodenindikatoren und Orientierungssysteme;;;159PG25303SK;;10000;2,64;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TNPG 2530-3 SK;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Noppe Polyurethan gerillt schwarz 3,3 mm 1 Stück für taktile Bodenindikatoren und Orientierungssysteme;;;159PG25333SK;;10000;2,64;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TNPG 2533-3 SK;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Taktile Noppe Polyurethan gerillt grau 3,3 mm 1 Stück für taktile Bodenindikatoren und Orientierungssysteme;;;159PG25383SK;;10000;2,64;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;TNPG 2538-3 SK;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Touch-Thermostat weiss für elektrische Fussbodenheizung;;;195000002;;10000;200,00;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;DREG TOUCH POLAR WHITE;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Thermostat weiss für elektrische Fussbodenheizung;;;195000003;;10000;160,00;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;DREG ROOM;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Heizleitung für elektrische Fussbodenheizung;;;195000004;;10000;25,00;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;DEVI TEMP;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Thermostat weiss für elektrische Fussbodenheizung;;;195000005;;10000;130,00;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;DREG BASIC;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Touch-Thermostat weiss für elektrische Fussbodenheizung;;;195000006;;10000;200,00;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;DREG TOUCH BLACK;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Heizleitung für elektrische Fussbodenheizung 100 W 10 m;;;195000100;;10000;120,00;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;DC 10T 100 W;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Heizleitung für elektrische Fussbodenheizung 200 W 20 m;;;195000200;;10000;164,00;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;DC 10T 200 W;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Heizleitung für elektrische Fussbodenheizung 300 W 28 m;;;195000300;;10000;212,80;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;DC 10T 300 W;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Heizleitung für elektrische Fussbodenheizung 400 W 41 m;;;195000400;;10000;282,90;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;DC 10T 400 W;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Heizleitung für elektrische Fussbodenheizung 500 W 50 m;;;195000500;;10000;340,00;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;DC 10T 500 W;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Heizleitung für elektrische Fussbodenheizung 600 W 57 m;;;195000600;;10000;370,50;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;DC 10T 600 W;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Heizleitung für elektrische Fussbodenheizung 700 W 70 m;;;195000700;;10000;441,00;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;DC 10T 700 W;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Heizleitung für elektrische Fussbodenheizung 800 W 81 m;;;195000800;;10000;502,42;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;DC 10T 800 W;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Heizleitung für elektrische Fussbodenheizung 900 W 90 m;;;195000900;;10000;558,00;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;DC 10T 900 W;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Heizleitung für elektrische Fussbodenheizung 1000 W 100 m;;;195001000;;10000;610,00;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;DC 10T 1000 W;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Heizleitung für elektrische Fussbodenheizung 1250 W 129 m;;;195001250;;10000;748,20;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;DC 10T 1250 W;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Heizleitung für elektrische Fussbodenheizung 1400 W 142 m;;;195001400;;10000;809,40;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;DC 10T 1400 W;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Heizleitung für elektrische Fussbodenheizung 1700 W 170 m;;;195001700;;10000;969,00;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;DC 10T 1700 W;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Funkfernbedienung weiss für LED-Steuerung;;;2000374LED;;10000;67,72;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;EM FF 30-1;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
LED-Zubehör Kunststoff weiss;;;2000388LED;;10000;162,16;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;EM WS 30;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
LED-Zubehör Kunststoff silber, schwarz;;;2000667LED;;10000;83,98;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;FWS LED;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Funkbewegungsmelder weiss für LED-Steuerung;;;2000691LED;;10000;87,98;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;FBM 30;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Bodenablaufdeckel Edelstahl V2A natur 150 x 15 mm;;;2202151508;;10000;108,02;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;BA 815;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Bodenablaufdeckel Edelstahl V2A natur 150 x 15 mm;;;2202151510;;10000;110,72;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;BA 1015;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
